"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"107","KWT","2020-11-22","11","21","2020","326","2020-11-22","426","2","Kuwait","4207077","Asia","202.73","139734","863","6.762","835","0.034","Middle East & North Africa","-0.088","100.488","","64.684","4.137","64346","41180","15.682","-21377568.821","232.172","72.252","73.64","36.612","","","","21.539","-7","","0.537","0.797","0","0","0.789","0.444","2.584","0.762","1.635","0.454","","29.154","62.969","0","-0.686","1","0","","","218","218","0.005","","0","4","1","","0","29.2","0.274","0.66","0.674","0.708","2.266","100","46.1","232.172","75.311","3.49","47.5","260.8","200","96.1","80.7","100","2432","0.8","36.5","50.2","4","0","2.551","1.42","5.447","","","","","","","","","","","","","-57","","","","","","","","","","","34.233","2.133","","","","","","208.59","5.345","","","KWT","56","270","112","214"
"108","LAO","2020-11-22","11","21","2020","326","2020-11-22","0","0","Laos","7169456","Asia","0","24","0","0","0","","East Asia & Pacific","-0.673","","","6.601","7.062","126685","161059","14.04","1319609797.485","30.596","","0.327","0","","","","32.604","-7","35.675","0.65","0.714","1","0.02","-2.786","-2.542","-1.28","0.303","-0.684","0.743","","","","0","-0.205","1","0","","","374","374","0.003","","0","","","","0","21.4","0.082","0.514","0.545","0.481","0.202","11.6","43.1","30.596","67.277","3.396","70.4","49.1","150","84.7","36.6","72.6","50","0.6","19.4","52","12","0","4.075","1.955","3.421","","","","","","","","","","","","","-24.6","","","","","","","","","","","24.867","239.967","","","","","","0","0","","","LAO","92","234","",""
"109","LBN","2020-11-22","11","21","2020","326","2020-11-22","1628","10","Lebanon","6855709","Asia","323.614","115283","894","6.797","806","0.111","Middle East & North Africa","-0.64","62.949","","11.607","6.849","220389","259246","14.908","2632087415.3","669.494","34.827","34.146","0","","1.345","","26.096","6","36.533","0.813","0.563","3","0.03","2.232","0.045","0.262","0.633","-0.129","0.754","","9.833","27.886","0","-0.617","1","0","","","786","786","0.001","","0","2","","","0","29.8","0.324","0.131","0.789","0.78","2.155","48.3","43.1","669.494","78.833","3.691","62","238","290","91.2","85.6","95.4","598","0.8","23.8","47.9","5","0","7.003","1.924","6.507","","","","","","","","","","","","","-27","","","","","","","","","","","24","13.6","","","","","","130.531","4.879","","","LBN","61","265","89","237"
"110","LBR","2020-11-22","11","21","2020","326","2020-11-22","0","0","Liberia","4937374","Africa","2.208","1551","82","4.419","82","0","Sub-Saharan Africa","-1.341","120.343","","1.161","4.819","69946","86834","","129129754.833","50.031","29.432","2.526","0","0.496","0.512","13.991","41.125","7","36.8","0.403","0.606","0","0","2.015","1.997","-1.597","0.775","0.462","0.776","","17.387","","0","","4","","234","","1308","234","0.004","","0","","","10675","1","18.5","0.469","0.908","0.488","0.899","2.055","","35.1","50.031","63.295","3.245","29.1","2.3","80","42.9","32.2","16.9","19","0.4","19.9","40.5","12","0","3.253","1.573","3.913","","","","","","","","","","","","","","","","","","","","","","","","24.867","317","","","","","","17.016","2.891","","","LBR","95","231","116","210"
"111","LBY","2020-11-22","11","21","2020","326","2020-11-22","0","0","Libya","6777453","Africa","144.14","76808","1068","6.974","995","0.073","Middle East & North Africa","-1.847","102.35","","18.425","6.679","133852","159487","13.74","","3.796","17.335","12.282","37.292","","","","28.319","0","","0.275","0.49","3","0.156","1.648","0.298","-0.118","0.441","-2.093","0.857","","11.006","26.775","0","0.62","1","0","","","","2000","0","","0","","","","0","26.6","0.198","0.792","0.057","0.151","2.853","","25.7","3.796","72.52","3.572","36","209.2","370","94.2","71.1","99.7","","0.7","9.1","18.9","14","","4.392","1.899","1.334","","","","","","","","","","","","","-14.6","","","","","","","","","","","27.3","3.733","","","","","","159.915","5.081","","","LBY","91","235","167","159"
"112","LCA","2020-11-22","11","21","2020","326","2020-11-22","1","0","St. Lucia","182795","America","44.312","204","2","1.099","2","0","Latin America & Caribbean","0.196","","","12.317","0.182","8630","9210","","40030761.705","298.179","","6.903","0","","","","18.529","","45.429","","","","","","","","","","","","","","0","0.176","4","0","","","476","476","0.002","","0","","","","0","30.5","","0.177","0.332","","","35.5","35.3","298.179","75.907","3.267","30.3","10.3","130","94.2","63.3","90.9","285","0.7","6.3","42.4","","0","9.808","-1.704","5.698","","","","","","","","","","","","","","","","","","","","","","","","26.733","300.767","","","","","","10.996","2.485","","","LCA","91","235","",""
"113","LIE","2020-11-22","11","21","2020","326","2020-11-22","15","0","Liechtenstein","38378","Europe","896.347","1109","8","2.197","4","1","Europe & Central Asia","1.739","","","","0.038","","","","-87212093508.406","236.938","","62.596","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","0.573","0.334","","","95","43.5","236.938","82.259","","22.9","300","505","99.9","90.69","100","2867","0.9","31.1","34.6","","","","-3.273","5.468","","","","","","","","","","","","","","","","","","","","","","","","13.1","122.333","","","","","","211.026","5.357","","","LIE","78","248","",""
"114","LKA","2020-11-22","11","21","2020","326","2020-11-22","491","9","Sri Lanka","21323734","Asia","29.788","19771","83","4.431","53","0.396","South Asia","-0.235","52.919","","11.955","21.67","964240","1305398","15.587","1610543974.229","345.559","","0.187","0","7.401","1.305","26.187","24.197","6","48.5","0.416","0.642","2","0.13","0.131","0.747","1.309","0.815","0.479","0.321","","","","1","0.62","3","","","1711","45","45","0.022","","0","","","","0","31.4","0.468","0.415","0.485","0.428","2.59","100","33.9","345.559","76.648","3.25","43","88.1","360","91.9","70.6","94.2","212","0.8","16.9","26.4","11","1","10.474","3.076","5.845","","","","","","","","","","","","","-73.6","","","","","","","","","","","27.8","173.6","","","","","","3.83","1.575","","","LKA","74","252","146","180"
"115","LSO","2020-11-22","11","21","2020","326","2020-11-22","19","0","Lesotho","2125267","Africa","5.552","2085","44","3.807","44","0","Sub-Saharan Africa","-0.861","128.008","","2.857","2.108","37150","66163","","39585272.986","69.438","","0.308","0","","","6.323","32.716","8","52.2","0","0","0","0","-0.028","0.275","1.045","0.652","1.325","0.47","","5.26","","0","-0.875","4","","","","111","111","0.009","","0","","","","0","20.7","0.434","0.255","0.721","0.255","2.651","17.6","30.2","69.438","52.947","3.423","18","4.7","130","76.6","32","43.8","155","0.5","20.6","33.2","10","1","4.901","0.746","4.24","","","","","","","","","","","","","","","","","","","","","","","","11.433","31.9","","","","","","20.872","3.085","","","LSO","175","151","208","118"
"116","LTU","2020-11-22","11","21","2020","326","2020-11-22","1983","17","Lithuania","2794184","Europe","788.101","44740","374","5.927","266","0.411","Europe & Central Asia","1.072","149.3","","31.178","2.802","186301","365665","10.167","867654602.336","44.531","","4.726","0.026","","39.002","","14.882","10","34.65","0.282","0.481","2","0.124","1.525","3.124","1.933","0.896","1.227","0.117","7.675","","","0","-0.202","3","","","1523","214","214","0.005","3.529","0","","","","0","39.3","0.755","0.322","0.414","0.338","3.535","95","55","44.531","74.671","3.064","81.5","437.9","730","99.8","80.5","93.6","1298","0.9","34.4","33.9","1","1","19.702","1.03","3.796","","","","","","","","","","","","","-12.8","","","","","","","","","","","14.3","56.3","","","","","","133.498","4.902","","","LTU","75","251","96","230"
