"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"127","MLI","2020-11-22","11","21","2020","326","2020-11-22","113","1","Mali","19658023","Africa","2.696","4206","143","4.97","139","0.029","Sub-Saharan Africa","-1.005","57.654","","2.056","19.078","210390","267944","","467067198.108","15.635","12.825","2.063","0","","","","47.543","5","","0.184","0.346","0","0","0.806","0.969","0.381","0.382","1.024","0.55","","23.806","","0","-0.202","2","","","1235","18","18","0.056","","0","","","8","0","16.3","0.374","0.691","0.182","0.754","1.98","1.9","29","15.635","58.452","2.514","25.5","8.5","10","33.1","34.9","31.3","26","0.4","13","29.5","15","0","2.507","2.949","2.75","","","","","","","","","","","","","-17.4","","","","","","","","","","","30.533","64.433","","","","","","7.496","2.14","","","MLI","89","237","104","222"
"128","MLT","2020-11-22","11","21","2020","326","2020-11-22","0","0","Malta","493559","Europe","308.17","8560","104","4.654","95","0.182","Middle East & North Africa","0.969","268.848","","38.388","0.485","44733","53883","14.762","4735070858.122","1511.031","","9.898","0","","16.036","","14.277","","26.925","0","0","0","0","1.039","0.765","2.693","0.871","0.822","0.141","","","","0","-0.617","3","0","","","814","814","0.001","4.21","0","","","","0","40.9","0.565","0.041","0.122","","2.819","100","37.3","1511.031","82.454","4.169","32.9","390.8","470","93.3","89.9","100","2216","0.9","23.6","22.4","","1","20.349","-0.724","7.321","","","","","","","","","","","","","-32.6","","","","","","","","","","","25.467","41.3","","","","","","214.597","5.373","","","MLT","74","252","235","91"
"129","MMR","2020-11-22","11","21","2020","326","2020-11-22","1434","27","Myanmar (Burma)","54045422","Asia","32.38","77848","1722","7.452","1552","0.105","East Asia & Pacific","-1.069","","","5.922","53.708","1259166","1847696","15.042","1291196200.669","82.239","12.161","0.136","0.175","","0.555","","26.371","8","34.45","0.522","0.65","7","0.233","0.749","-0.101","-1.038","0.395","0.27","0.425","","","","0","","1","0","264","","264","264","0.004","","1","","","","0","29","0.253","0.506","0.197","0.522","3.403","","43.4","82.239","66.558","3.229","59.2","56.8","90","75.6","41.6","64.7","58","0.6","19.5","50.4","18","","5.785","3.984","4.41","","","","","","","","","","","","","-31.6","","","","","","","","","","","24.9","325.733","","","","","","32.062","3.498","","","MMR","90","236","252","74"
"130","MNE","2020-11-22","11","21","2020","326","2020-11-22","574","5","Montenegro","622182","Europe","1329.836","30653","434","6.075","385","0.138","Europe & Central Asia","0.131","109.609","","17.315","0.622","39569","53611","13.246","485653127.823","46.271","","13.19","0","47.933","","8.076","18.21","9","28.96","0.693","0.761","2","0.297","0.458","-0.132","1.635","0.821","0.573","0.609","4.336","","","0","","","","","1130","219","219","0.005","","0","","","","0","37.1","0.383","","","","2.396","95","43.7","46.271","76.667","2.877","55.4","234.3","400","98.4","81","95.9","1001","0.8","29.5","32.1","2","","14.975","-0.474","3.835","","","","","","","","","","","","","","","","","","","","","","","","16.8","52.567","","","","","","697.495","6.549","","","MNE","79","247","180","146"
"131","MNG","2020-11-22","11","21","2020","326","2020-11-22","30","0","Mongolia","3225166","Asia","7.659","608","0","0","0","","East Asia & Pacific","-0.233","122.893","25.7","12.245","3.17","53849","75608","13.416","1951528195.819","2.041","47.958","0.595","1.863","43.279","21.408","99.831","30.41","10","34.143","0.185","0.343","1","0.05","1.219","1.392","0.825","0.88","0.42","0.609","","","","0","-0.205","2","0","","472","110","110","0.009","","0","","9","","0","26.8","0.499","0.368","0.08","0.272","2.803","81.9","49.5","2.041","69.509","2.147","77.3","326.2","700","98.3","53.4","59.2","265","0.7","30.8","37.8","7","1","4.084","1.154","0.713","","","","","","","","","","","","","9.6","","","","","","","","","","","9.7","37.8","","","","","","0","0","","","MNG","81","245","",""
"132","MNP","2020-11-22","11","21","2020","326","2020-11-22","0","0","Northern Mariana Islands","57213","Oceania","8.739","103","2","1.099","2","0","East Asia & Pacific","","108.692","","","0.057","","","","","123.657","","39.31","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","","","123.657","","3.11","","","","","","","","","","","","","","-2.867","4.818","","","","","","","","","","","","","","","","","","","","","","","","28.567","1465.767","","","","","","35.161","3.588","","","MNP","99","227","",""
"133","MOZ","2020-11-22","11","21","2020","326","2020-11-22","104","2","Mozambique","30366043","Africa","4.624","14981","123","4.82","110","0.1","Sub-Saharan Africa","-0.874","131.986","","1.295","29.496","321444","531223","13.2","2678190543.599","37.509","9.28","0.797","0.101","3.809","3.219","1.58","44.671","5","46.733","0.603","0.829","1","0.098","0.91","0.693","-0.263","0.593","-0.022","0.707","","13.225","","0","-0.377","3","0","","","1679","1679","0.001","","0","","","","0","17.3","0.316","0.693","0.676","0.765","2.282","","28.1","37.509","59.309","2.788","29.3","5.5","70","56","30","23.6","33","0.4","17","18.2","11","1","2.891","3.384","3.625","","","","","","","","","","","","","-15.6","","","","","","","","","","","24.167","14.233","","","","","","4.17","1.643","","","MOZ","92","234","200","126"
"134","MRT","2020-11-22","11","21","2020","326","2020-11-22","62","1","Mauritania","4525698","Africa","6.54","8096","169","5.136","165","0.018","Sub-Saharan Africa","-0.727","121.314","","3.683","4.403","58497","79815","13.027","70755026.528","4.272","27.375","3.397","0.812","","","45.216","40.083","-2","38.36","0.66","0.888","1","0.3","0.768","1.139","-0.845","0.637","-0.11","0.757","","","","0","","1","0","","1564","1269","1269","0.001","","0","","","","0","19.8","0.171","0.615","0.015","0.625","2.148","6","27.5","4.272","64.464","2.844","39.5","6.8","40","51.2","40.6","44.6","60","0.5","17","24.2","16","1","3.141","1.482","1.452","","","","","","","","","","","","","","","","","","","","","","","","31.233","22.7","","","","","","38.38","3.673","","","MRT","135","191","148","178"
"135","MUS","2020-11-22","11","21","2020","326","2020-11-22","0","0","Mauritius","1269670","Africa","3.308","494","10","2.398","10","0","Sub-Saharan Africa","0.876","94.853","","21.075","1.265","62612","82571","14.372","371518185.921","623.302","","2.245","0","18.792","4.332","44.854","17.794","10","37.967","0.73","0.726","4","0.41","1.601","2.298","1.888","0.778","1.27","0.442","","13.315","","0","","3","0","","","","2000","0","","0","","","","0","34.6","0.707","0.463","0.638","0.632","3.804","100","34.9","623.302","74.515","3.097","42.3","200.3","340","93.2","68.7","93.1","532","0.8","15.1","34.9","0","0","11.474","0.235","6.435","","","","","","","","","","","","","-71.8","","","","","","","","","","","21.667","79.133","","","","","","7.903","2.186","","","MUS","80","246","118","208"
"136","MWI","2020-11-22","11","21","2020","326","2020-11-22","0","0","Malawi","18628749","Africa","0.295","6003","185","5.226","185","0","Sub-Saharan Africa","-0.729","","","1.163","18.143","192169","287793","9.264","102033113.803","192.441","5.675","1.25","0","0.566","","41.219","43.902","6","45.814","0.609","0.908","0","0","0.64","0.809","-1.737","0.514","1.107","0.643","","20.093","","0","-1.031","3","0","","113","1532","113","0.009","","0","","","","0","17.2","0.466","0.674","0.819","0.829","3.02","","28","192.441","63.279","3.804","23.3","1.9","130","62.1","32.2","43.5","32","0.5","15.3","20.7","13","0","2.645","2.898","5.26","","","","","","","","","","","","","","","","","","","","","","","","22.667","15.5","","","","","","10.197","2.416","","","MWI","102","224","173","153"
"137","MYS","2020-11-22","11","21","2020","326","2020-11-22","1041","3","Malaysia","31949789","Asia","44.827","53679","332","5.808","306","0.082","East Asia & Pacific","1.075","130.503","","28.201","31.529","1025167","1078350","17.918","8570094242.95","95.963","23.991","8.289","2.358","","","","23.995","7","40.829","0.595","0.786","3","0.065","0.787","1.189","1.364","0.711","0.608","0.367","","8.538","75.193","0","-0.072","4","0","","","1176","1176","0.001","","0","2","5","","0","27.4","0.22","0.588","0.666","0.596","1.225","100","62.2","95.963","75.828","3.468","73.2","153.3","190","93.7","68.1","99.6","531","0.8","57.1","61.3","3","0","6.672","3.451","4.564","","","","","","","","","","","","","-50.4","","","","","","","","","","","26.2","231.667","","","","","","10.53","2.445","","","MYS","35","291","82","244"
"138","NAM","2020-11-22","11","21","2020","326","2020-11-22","99","2","Namibia","2494524","Africa","25.696","13811","145","4.984","138","0.036","Sub-Saharan Africa","0.106","83.651","","9.851","2.448","33216","55805","13.309","199551871.915","2.974","","3.818","0","","","","36.91","6","65.114","0.725","0.597","4","0.093","1.04","1.015","-1.143","0.779","1.598","0.369","","24.611","","0","","1","0","295","","1725","295","0.003","","1","","","","0","21.2","0.608","0.633","0.663","0.724","3.66","28","35.6","2.974","63.021","3.731","46","37.4","270","88.3","44.6","33.8","600","0.6","10.1","30.9","5","1","3.636","0.895","1.09","","","","","","","","","","","","","-17.6","","","","","","","","","","","18.967","3.367","","","","","","59.226","4.098","","","NAM","89","237","212","114"
"139","NCL","2020-11-22","11","21","2020","326","2020-11-22","0","0","New Caledonia","282757","Oceania","1.061","32","0","0","0","","East Asia & Pacific","","","","","0.284","12419","13636","","874392467.214","15.539","","24.434","","","","","22.741","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","","","15.539","77.149","","","","","","","","","","","","","","9.172","-1.259","2.743","","","","","","","","","","","","","","","","","","","","","","","","20.633","65.633","","","","","","0","0","","","NCL","85","241","",""
"140","NER","2020-11-22","11","21","2020","326","2020-11-22","11","0","Niger","23310719","Africa","0.468","1351","70","4.263","70","0.014","Sub-Saharan Africa","-0.766","48.777","","0.944","22.443","280994","301410","","466042272.997","17.718","5.408","0.951","1.878","1.373","","20.113","49.984","5","38","0.621","0.764","1","0.005","0.96","1.539","-0.237","0.6","1.33","0.626","","46.42","","0","","2","","","","347","347","0.003","","0","","","","0","15","0.45","0.652","0.201","0.637","2.357","3.1","32.2","17.718","61.599","2.611","44.4","1.9","30","30.6","28.4","12.9","15","0.4","21.9","20.1","19","1","2.595","3.111","2.875","","","","","","","","","","","","","-17.2","","","","","","","","","","","30.2","34.367","","","","","","3.119","1.416","","","NER","86","240","96","230"
"141","NGA","2020-11-22","11","21","2020","326","2020-11-22","246","1","Nigeria","200963603","Africa","1.213","66228","1166","7.062","1163","0.002","Sub-Saharan Africa","-1.023","33.001","","5.316","195.875","2550966","2830452","15.916","1997485164.948","215.065","16.514","0.658","6.122","2.707","","3.764","43.867","7","43.9","0.793","0.64","3","0.13","2.147","-0.28","-1.317","0.749","0.756","0.811","","14.781","36.271","0","-0.535","4","0","1084","1079","1084","1079","0.001","","0","","","20","0","17.8","0.446","0.85","0.742","0.805","2.372","2.2","37.8","215.065","53.95","2.097","44.6","39.5","50","51.1","41.9","32.6","28","0.5","19.9","43.8","18","0","2.747","5.277","5.371","","","","","","","","","","","","","-40.4","","","","","","","","","","","26.433","193.967","","","","","","5.953","1.939","","","NGA","80","246","102","224"
"142","NIC","2020-11-22","11","21","2020","326","2020-11-22","64","0","Nicaragua","6545503","America","2.047","5725","159","5.075","158","0.006","Latin America & Caribbean","-0.802","93.255","","4.91","6.466","145203","194073","","359200000","53.727","16.208","0.662","0","13.708","","59.75","30.202","6","42.98","0.251","0.449","3","0.127","-0.185","-1.029","-0.355","0.548","-1.504","0.76","","12.412","20.944","1","0.689","2","0","","605","605","605","0.002","","0","","","","0","23.1","0.14","0.484","0.429","0.402","3.075","12.2","43.1","53.727","74.068","3.135","39.9","91.4","90","78","61.2","76.3","297","0.7","45.9","39.2","7","1","5.247","1.866","3.984","","","","","","","","","","","","","-19","","","","","","","","","","","25.5","262.433","","","","","","24.592","3.242","","","NIC","112","214","143","183"
"143","NLD","2020-11-22","11","21","2020","326","2020-11-22","6062","48","Netherlands","17282163","Europe","432.608","478678","8858","9.089","8432","0.055","Europe & Central Asia","1.85","157.653","","49.787","17.232","1525161","1782696","17.6","-239337011214.707","511.458","12.416","11.696","0.021","","35.907","","16.108","10","26.475","0","0","0","0","2.494","1.736","2.697","0.885","3.115","0.026","31.521","66.176","34.584","0","0.059","6","2","1176","","385","385","0.003","6.208","0","2","","","0","41.8","0.85","0.105","0.722","0.077","3.768","98.9","75.6","511.458","81.561","4.232","86","347.8","470","99.9","96.1","97.7","4252","0.9","70.2","79.1","0","1","19.196","2.847","6.237","","","","","","","","","","","","","-12.4","","","","","","","","","","","15.433","51.433","","","","","","514.055","6.244","","","NLD","61","265","74","252"
"144","NOR","2020-11-22","11","21","2020","326","2020-11-22","0","0","Norway","5328212","Europe","154.142","31438","306","5.727","294","0.041","Europe & Central Asia","1.887","71.074","","65.389","5.312","418268","487366","","-17352601275.011","14.555","19.047","14.236","3.751","","21.348","","17.549","10","24.975","0","0","0","0","2.401","2.589","2.595","0.841","2.965","0.022","40.623","73.73","","0","0.209","4","2","","","549","549","0.002","7.27","1","","","","0","39","0.861","0.059","0.205","0.098","3.781","100","64.6","14.555","82.51","4.59","58.6","438.5","390","99.9","96.6","98.1","5281","1","58.5","58.2","2","1","17.049","1.67","2.678","","","","","","","","","","","","","-0.6","","","","","","","","","","","7.7","152.633","","","","","","57.606","4.071","","","NOR","60","266","84","242"
"145","NPL","2020-11-22","11","21","2020","326","2020-11-22","1674","7","Nepal","28608715","Asia","94.387","218639","1305","7.175","1215","0.08","South Asia","-0.902","55.231","","2.741","28.088","733401","875346","15.009","68186670.745","195.939","4.734","1.818","0","5.259","","40.138","30.414","7","38.4","0.766","0.678","3","0.5","0.422","0.673","-0.541","0.682","0.869","0.675","","","","0","0.124","3","0","691","1097","994","691","0.001","","0","","","","0","22.4","0.494","0.663","0.142","0.677","2.667","0.1","35.1","195.939","70.169","3.231","22","59.8","30","59.6","40","46.1","29","0.6","28.1","41.9","9","1","5.728","3.335","5.278","","","","","","","","","","","","","-60.2","","","","","","","","","","","12.533","163.567","","","","","","46.461","3.86","","","NPL","103","223","156","170"
"146","NZL","2020-11-22","11","21","2020","326","2020-11-22","9","0","New Zealand","4783062","Oceania","0.962","1672","25","3.258","25","0","East Asia & Pacific","1.67","56.4","","36.352","4.841","352911","404821","16.663","2128856170.745","18.554","31.867","22.96","0.161","","2.031","","19.653","10","32.55","0.508","0.715","1","0.092","2.324","3.342","1.52","0.892","2.512","0.029","29.013","56.227","49.474","0","0.62","2","2","","","192","192","0.005","4.361","1","","1","","0","37","0.827","0.397","0.811","0.363","3.413","100","54","18.554","81.659","4.16","36.7","306.1","280","99.9","92.4","100","2882","0.9","45.2","58.1","2","1","15.652","1.577","2.921","","","","","","","","","","","","","-52.8","","","","","","","","","","","8.533","125.1","","","","","","5.164","1.819","","","NZL","77","249","107","219"
"147","OMN","2020-11-22","11","21","2020","326","2020-11-22","0","0","Oman","4974992","Asia","84.282","121360","1365","7.22","1326","0.029","Middle East & North Africa","0.187","102.783","","37.143","4.829","55286","60048","16.161","6342262678.804","15.604","29.953","41.086","21.803","","","","22.247","-8","34.4","0.385","0.77","0","0","-1.785","-1.065","2.122","0.596","-0.351","0.315","","","","0","-1.029","1","0","","","1329","1329","0.001","","0","24","","","0","26.3","0.128","0.437","0.432","0.439","0.223","97","43.1","15.604","77.393","3.486","41.1","191.5","160","96.1","76.2","99.3","2520","0.8","25.4","41.6","5","1","2.388","1.575","2.748","","","","","","","","","","","","","-48.6","","","","","","","","","","","27.733","6.367","","","","","","282.639","5.648","","","OMN","64","262","115","211"
"148","PAK","2020-11-22","11","21","2020","326","2020-11-22","2665","59","Pakistan","216565317","Asia","14.307","374173","7662","8.944","7141","0.069","South Asia","-0.634","28.542","","4.94","212.215","4672822","4479539","15.744","2354000000","275.289","20.072","1.921","0.303","6.008","","11.196","35.27","7","34.083","0.636","0.725","2","0.23","1.253","-0.962","-2.077","0.565","-1.242","0.701","","23.549","36.638","0","0.728","4","","385","","1237","385","0.003","","0","","","","0","22.5","0.269","0.71","0.385","0.532","1.737","26.6","35.5","275.289","66.947","3.308","41.7","97.8","60","57","37.6","58.3","40","0.6","19.9","38.7","15","0","4.313","5.358","5.618","","","","","","","","","","","","","-39.6","","","","","","","","","","","25.567","14.867","","","","","","36.105","3.614","","","PAK","69","257","88","238"
"149","PAN","2020-11-22","11","21","2020","326","2020-11-22","1288","14","Panama","4246440","America","354.909","153577","2946","7.989","2867","0.027","Latin America & Caribbean","-0.019","","37.1","22.674","4.177","157520","181003","16.376","5915110000","56.186","42.699","4.701","0","17.883","","51.117","27.062","9","46.763","0.339","0.587","4","0.198","1.925","1.018","0.935","0.694","0.847","0.345","","13.039","16.329","0","0.687","3","","","1516","1516","1516","0.001","","0","","","","0","27.9","0.612","0.553","0.334","0.507","2.724","51.8","43.7","56.186","78.149","3.458","44.6","159.4","230","94.1","68.3","76.9","1148","0.8","35.1","46.4","3","1","8.105","1.43","4.029","","","","","","","","","","","","","-62.6","","","","","","","","","","","25.633","314.633","","","","","","705.312","6.56","","","PAN","71","255","87","239"
"150","PER","2020-11-22","11","21","2020","326","2020-11-22","1994","65","Peru","32510462","America","86.345","948081","35549","10.479","35177","0.011","Latin America & Caribbean","-0.245","48.914","32.1","12.793","31.989","1207306","1380179","16.692","6487906280.719","24.992","32.482","0.29","0.204","11.516","11.319","56.098","25.791","9","44.75","0.593","0.875","3","0.423","1.829","1.059","-0.503","0.69","0.132","0.467","","12.151","13.214","0","-0.617","4","0","","395","321","321","0.003","","0","","","","0","26.5","0.625","0.657","0.199","0.638","2.924","64.4","49.2","24.992","76.286","4.124","38.3","111.6","160","94.2","64.3","76.8","436","0.7","45","51.7","6","1","8.089","3.465","3.219","","","","","","","","","","","","","-71","","","","","","","","","","","19.433","96.267","","","","","","1111.279","7.014","","","PER","70","256","87","239"
"151","PHL","2020-11-22","11","21","2020","326","2020-11-22","1785","55","Philippines","108116622","Asia","21.173","416852","8080","8.997","7791","0.035","East Asia & Pacific","0.05","76.059","","7.943","106.652","2294705","3168706","17.579","9832332890.554","357.688","14.278","0.21","0.051","8.922","","33.83","30.963","8","40.217","0.254","0.448","2","0.126","1.563","-0.44","-0.996","0.836","-0.802","0.642","","2.833","56.594","1","0.897","5","0","789","789","789","789","0.001","","0","2","14","","0","23","0.413","0.239","0.306","0.161","2.42","82","47.6","357.688","70.952","4.553","63.6","111","100","96.4","51.2","75","108","0.7","38.2","43.8","14","1","5.123","4.67","5.88","","","","","","","","","","","","","-64.6","","","","","","","","","","","26.767","275.367","","","","","","75.76","4.341","","","PHL","68","258","75","251"
"152","PNG","2020-11-22","11","21","2020","326","2020-11-22","0","0","Papua New Guinea","8776119","Oceania","0.08","604","7","2.079","7","0","East Asia & Pacific","-0.677","","","3.848","8.606","138009","158502","13.78","335186822.973","19.004","","0.338","2.592","","","","35.816","5","","0.066","0.131","1","0.034","1.442","0.578","-1.918","0.687","0.711","0.705","","","","0","0.689","3","","","","856","856","0.001","","0","","","","0","20.9","0.318","0.272","0.552","1","2.612","","27.8","19.004","64.01","3.5","31.8","5.5","318","61.6","31.8","18.6","65","0.5","11.6","34.8","10","0","3.445","2.152","2.945","","","","","","","","","","","","","-0.4","","","","","","","","","","","25.133","225.667","","","","","","0.813","0.595","","","PNG","176","150","",""
"153","POL","2020-11-22","11","21","2020","326","2020-11-22","24213","574","Poland","37972812","Europe","847.541","843475","13288","9.495","10045","0.338","Europe & Central Asia","0.663","107.744","","28.786","37.975","2617976","4034163","16.043","16697000000","124.036","4.655","1.604","0.035","43.788","40.684","38.753","15.052","10","30.087","0.078","0.149","3","0.015","0.515","1.028","1.388","0.849","0.587","0.138","","22.257","17.672","1","0.37","2","0","1329","74","1329","74","0.014","7.7","0","","","","0","38.8","0.671","0.118","0.171","0.047","3.445","97.5","55.4","124.036","77.851","2.815","61.7","229","650","94.5","82.4","98.1","1244","0.9","48.9","47.5","0","1","17.517","3.637","4.821","","","","","","","","","","","","","-21","","","","","","","","","","","15.667","43","","","","","","349.917","5.861","","","POL","68","258","84","242"
"154","PRI","2020-11-22","11","21","2020","326","2020-11-22","1295","21","Puerto Rico","2933404","America","398.377","83141","1012","6.921","921","0.084","Latin America & Caribbean","-0.157","105.839","","35.085","3.195","248175","348577","","","360.22","76.814","7.465","","","","","16.836","","51.057","","","","","","","","","","","","","","0","","","","237","237","237","237","0.004","","0","","","","0","","","","","","","","","360.22","79.635","3.145","","","","","","","","","","","","","18.677","1.162","5.887","","","","","","","","","","","","","-45.2","","","","","","","","","","","27.1","197.4","","","","","","316.73","5.761","","","PRI","87","239","92","234"
"155","PRT","2020-11-22","11","21","2020","326","2020-11-22","6472","62","Portugal","10276617","Europe","802.112","255970","3824","8.249","3305","0.158","Europe & Central Asia","1.209","86.957","","28.999","10.284","947538","1310392","16.67","6420730028.342","112.239","41.182","8.09","0","","30.018","","13.458","10","33.575","0","0","0","0","2.014","1.508","1.661","0.898","2.255","0.128","44.264","","","0","0.689","4","2","","319","1306","319","0.003","4.049","0","","","","0","42.2","0.828","0.047","0.144","0.04","3.639","100","60.3","112.239","81.124","4.07","50.5","442.6","340","94.5","85.7","99.4","1844","0.8","55","67.7","0","1","21.956","2.331","4.721","","","","","","","","","","","","","-41","","","","","","","","","","","21.3","39.967","","","","","","371.846","5.921","","","PRT","66","260","81","245"
"156","PRY","2020-11-22","11","21","2020","326","2020-11-22","799","5","Paraguay","7044639","America","126.564","75857","1652","7.41","1569","0.058","Latin America & Caribbean","-0.517","70.415","35.9","12.068","6.956","213950","233340","13.237","386916058.14","17.508","46.322","2.357","0","13.843","20.598","55.755","29.441","9","45.45","0.105","0.203","1","0.02","1.256","0.182","-1.631","0.706","0.386","0.613","","17.642","27.279","0","","2","0","1145","","1145","1145","0.001","","0","","","","0","23.9","0.436","0.169","0.212","0.132","1.773","23.6","35.7","17.508","73.992","3.302","34.6","128.6","130","95.1","56.7","91.2","396","0.7","28.2","26.8","8","1","6.43","1.94","2.863","","","","","","","","","","","","","-36.6","","","","","","","","","","","22.5","110.033","","","","","","237.49","5.474","","","PRY","77","249","121","205"
"157","PSE","2020-11-22","11","21","2020","326","2020-11-22","1486","14","Palestinian Territories","4981422","Asia","264.342","82780","698","6.55","633","0.098","Middle East & North Africa","-0.761","79.601","","4.576","4.569","67701","75458","","262509658.395","758.985","","5.473","0","","5.376","","38.947","","36.257","","","","","","","","","","","","15.8","40.68","0","","","","","","","2000","0","","0","","","","0","","","","","","","16.2","","758.985","73.74","3.783","","","","","","","","","","","","","3.133","1.519","6.632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.766","5.035","","","PSE","66","260","183","143"
"158","PYF","2020-11-22","11","21","2020","326","2020-11-22","162","1","French Polynesia","279285","Oceania","1068.085","12978","63","4.159","53","0.192","East Asia & Pacific","","","","","0.278","11175","11843","","58721896.443","75.869","","10.63","","","","","22.762","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","","","75.869","77.251","","","","","","","","","","","","","","8.289","-1.281","4.329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.881","5.429","","","PYF","80","246","283","43"
"159","QAT","2020-11-22","11","21","2020","326","2020-11-22","174","0","Qatar","2832071","Asia","107.66","137062","235","5.464","234","0.004","Middle East & North Africa","0.631","87.986","","112.6","2.782","26435","11671","17.189","-2186263736.264","239.593","","75.498","14.232","","","","13.541","-10","39.9","0.205","0.41","0","0","-1.795","-1.108","2.707","0.44","-0.467","0.533","","21.415","83.571","0","-0.617","1","0","","","","2000","0","","0","19","","","0","31.7","0.085","0.746","0.095","","0.283","100","41.2","239.593","79.981","3.409","32.7","196.4","120","97.7","81.7","100","3205","0.9","38.8","48","3","","1.37","1.023","5.479","","","","","","","","","","","","","-41.2","","","","","","","","","","","34.267","0.167","","","","","","84.481","4.448","","","QAT","66","260","113","213"
"160","RKS","2020-11-22","11","21","2020","326","2020-11-22","711","19","Kosovo","1798506","Europe","565.08","33588","904","6.808","809","0.109","","-0.428","82.01","","10.07","1.845","","","","318542989.391","","","","0","35","","14.05","","8","28.337","0.187","0.337","5","0.094","0.295","0.935","0.833","0.44","0.357","0.458","","","","0","","","","","352","1304","352","0.003","","0","","","","0","","","","","","","","","","71.946","","","","","","","","","","","","5","","","0.613","","","","","","","","","","","","","","","","","","","","","","","","","16.8","32.033","","","","","","489.893","6.196","","","RKS","75","251","107","219"
"161","ROU","2020-11-22","11","21","2020","326","2020-11-22","9685","160","Romania","19414458","Europe","596.509","412808","9916","9.202","8813","0.123","Europe & Central Asia","-0.253","86.495","","24.538","19.466","1430188","2139534","15.406","7343560129.252","84.64","9.353","1.163","0.316","46.86","32.643","61.833","15.535","9","33.15","0.293","0.497","2","0.092","0.972","1.19","0.138","0.878","-0.384","0.396","10.152","7.071","19.27","0","0.37","4","","295","1705","295","295","0.003","6.054","0","","1","","0","39.4","0.587","0.307","0.237","0.3","2.197","94.3","45.8","84.64","75.31","2.788","42.8","266.9","630","98.6","78.3","81.8","901","0.8","36.7","35.3","3","1","18.338","2.969","4.438","","","","","","","","","","","","","-44.6","","","","","","","","","","","17.233","23.3","","","","","","509.397","6.235","","","ROU","67","259","84","242"
"162","RUS","2020-11-22","11","21","2020","326","2020-11-22","24581","401","Russia","145872260","Europe","229.991","2089329","36179","10.496","32834","0.103","Europe & Central Asia","-0.061","51.51","29.9","25.629","144.478","6964329","14238472","18.414","8784850000","8.822","23.191","8.116","6.432","56.341","21.933","67.89","17.914","4","34.586","0.346","0.513","36","0.167","-0.681","-0.405","0.573","0.882","-0.305","0.778","","27.735","49.619","0","","2","0","","1468","568","568","0.002","","0","","1","","0","38.3","0.107","0.245","0.44","0.333","0.545","88","44.3","8.822","72.119","3.307","34.1","397.5","820","99.7","75.1","88.8","757","0.8","37.6","50.1","9","1","14.675","4.973","2.177","","","","","","","","","","","","","","","","","","","","","","","","7.333","53.3","","","","","","250.412","5.527","","","RUS","66","260","90","236"
